chirpstack_time,server_time,devName,devEui,humidity,temperature
1662104703000,1662104704257,EM300-2,24e124136b327793,79,19.1
1662104951000,1662104952147,EM300-1,24e124136c195948,86.5,18.1
1662105003000,1662105004297,EM300-2,24e124136b327793,79.5,19.2
1662105099000,1662105100105,EM300-3,24e124136b327790,80.5,19.1
1662105251000,1662105252070,EM300-1,24e124136c195948,87,18.1
1662105303000,1662105304223,EM300-2,24e124136b327793,80,19.2
1662105399000,1662105400045,EM300-3,24e124136b327790,80.5,19.1
1662105551000,1662105552108,EM300-1,24e124136c195948,87,18.1
1662105605000,1662105606361,EM300-2,24e124136b327793,80,19.2
1662105699000,1662105700078,EM300-3,24e124136b327790,80.5,19
1662105851000,1662105852142,EM300-1,24e124136c195948,87,18.1
1662105903000,1662105904195,EM300-2,24e124136b327793,79.5,19.2
1662105999000,1662106000006,EM300-3,24e124136b327790,80.5,19.2
1662106203000,1662106204230,EM300-2,24e124136b327793,79.5,19.2
1662106299000,1662106300038,EM300-3,24e124136b327790,80.5,19.1
1662106451000,1662106452192,EM300-1,24e124136c195948,87.5,18.1
1662106503000,1662106504261,EM300-2,24e124136b327793,79,19.2
1662106599000,1662106600062,EM300-3,24e124136b327790,80.5,19.2
1662106751000,1662106752120,EM300-1,24e124136c195948,87.5,18.1
1662106806099,1662106806376,EM300-2,24e124136b327793,78.5,19.2
1662106899751,1662106899985,EM300-3,24e124136b327790,80,19.2
1662107051819,1662107052042,EM300-1,24e124136c195948,87.5,18.1
1662107103928,1662107104195,EM300-2,24e124136b327793,78.5,19.2
1662107199745,1662107200006,EM300-3,24e124136b327790,80,19.2
1662107403000,1662107404146,EM300-2,24e124136b327793,78.5,19.2
1662107499000,1662107500036,EM300-3,24e124136b327790,80,19.1
1662107651000,1662107652099,EM300-1,24e124136c195948,88,18
1662107708000,1662107708561,EM300-2,24e124136b327793,79,19.2
1662107799000,1662107799963,EM300-3,24e124136b327790,80,19.2
1662107951000,1662107952133,EM300-1,24e124136c195948,88,18
1662108003000,1662108004191,EM300-2,24e124136b327793,78.5,19.2
1662108099000,1662108100001,EM300-3,24e124136b327790,80,19.2
1662108251000,1662108252075,EM300-1,24e124136c195948,88,18.1
1662108303000,1662108304131,EM300-2,24e124136b327793,79,19.2
1662108399000,1662108399947,EM300-3,24e124136b327790,80.5,19.3
1662108551000,1662108552106,EM300-1,24e124136c195948,88,18
1662108603000,1662108604167,EM300-2,24e124136b327793,78,19.2
1662108699000,1662108699965,EM300-3,24e124136b327790,80.5,19.1
1662108853000,1662108854242,EM300-1,24e124136c195948,88,18
1662108903000,1662108904100,EM300-2,24e124136b327793,78,19.2
1662108999000,1662109000009,EM300-3,24e124136b327790,80,19.2
1662109151000,1662109152072,EM300-1,24e124136c195948,88,18
1662109203000,1662109204118,EM300-2,24e124136b327793,78,19.3
1662109299000,1662109300010,EM300-3,24e124136b327790,80,19.1
1662109451000,1662109452117,EM300-1,24e124136c195948,88,18
1662109503000,1662109504142,EM300-2,24e124136b327793,78.5,19.2
1662109599000,1662109599961,EM300-3,24e124136b327790,80,19.2
1662109751000,1662109752117,EM300-1,24e124136c195948,88.5,17.9
1662109899000,1662109899983,EM300-3,24e124136b327790,80,19.2
1662110051000,1662110052057,EM300-1,24e124136c195948,88.5,17.9
1662110103000,1662110104118,EM300-2,24e124136b327793,78.5,19.2
1662110199000,1662110200028,EM300-3,24e124136b327790,80,19.2
1662110351000,1662110352092,EM300-1,24e124136c195948,88.5,17.8
1662110403844,1662110404151,EM300-2,24e124136b327793,78,19.3
1662110499703,1662110499962,EM300-3,24e124136b327790,80,19.2
1662110651825,1662110652034,EM300-1,24e124136c195948,89,17.8
1662110703834,1662110704092,EM300-2,24e124136b327793,78,19.2
1662110951823,1662110952095,EM300-1,24e124136c195948,89.5,17.7
1662111003000,1662111004050,EM300-2,24e124136b327793,79.5,19.3
1662111099000,1662111099985,EM300-3,24e124136b327790,80,19.2
1662111253000,1662111254267,EM300-1,24e124136c195948,90,17.5
1662111303000,1662111304117,EM300-2,24e124136b327793,80,19.2
1662111551000,1662111552115,EM300-1,24e124136c195948,90.5,17.5
1662111603000,1662111604063,EM300-2,24e124136b327793,80,19.2
1662111699000,1662111699984,EM300-3,24e124136b327790,80,19.2
1662111851000,1662111852040,EM300-1,24e124136c195948,91,17.5
1662111903000,1662111904098,EM300-2,24e124136b327793,80,19.2
1662111999000,1662111999922,EM300-3,24e124136b327790,80.5,19.1
1662112151000,1662112152100,EM300-1,24e124136c195948,91.5,17.4
1662112203000,1662112204058,EM300-2,24e124136b327793,80.5,19.1
1662112299000,1662112299966,EM300-3,24e124136b327790,80.5,19.1
1662112451000,1662112452037,EM300-1,24e124136c195948,91.5,17.3
1662112503000,1662112504001,EM300-2,24e124136b327793,80.5,19.3
1662112599000,1662112599986,EM300-3,24e124136b327790,80.5,19.1
1662112751000,1662112752078,EM300-1,24e124136c195948,92,17.2
1662112803000,1662112804028,EM300-2,24e124136b327793,80,19.2
1662112899000,1662112899942,EM300-3,24e124136b327790,81,19
1662113051000,1662113052109,EM300-1,24e124136c195948,92.5,17.2
1662113103000,1662113104066,EM300-2,24e124136b327793,80.5,19.1
1662113199000,1662113199859,EM300-3,24e124136b327790,81,19.1
1662113351000,1662113352131,EM300-1,24e124136c195948,92.5,17.3
1662113403000,1662113403993,EM300-2,24e124136b327793,80,19.1
1662113499000,1662113499887,EM300-3,24e124136b327790,81,19
1662113703000,1662113704015,EM300-2,24e124136b327793,80.5,19.2
1662113801000,1662113802030,EM300-3,24e124136b327790,81,19.1
1662113951000,1662113952102,EM300-1,24e124136c195948,93,17.2
1662114003000,1662114004055,EM300-2,24e124136b327793,80,19.1
1662114099631,1662114099851,EM300-3,24e124136b327790,81,19
1662114251812,1662114252032,EM300-1,24e124136c195948,93,17.2
1662114303739,1662114303985,EM300-2,24e124136b327793,79.5,19.2
1662114399624,1662114399888,EM300-3,24e124136b327790,81.5,19
